number,operation,volume,client_workers_count,server_workers_count,time,throughput,client_workers_success_count,client_workers_failed_count,server_workers_success_count,server_workers_failed_count
1,upload,10MB,1,1,0.07,156650692.28,1,0,1,0
2,upload,10MB,1,5,0.06,181872736.38,1,0,5,0
3,upload,10MB,1,50,0.06,174482034.69,1,0,50,0
4,upload,10MB,5,1,0.68,76929676.23,5,0,1,0
5,upload,10MB,5,5,0.26,203698138.63,5,0,5,0
6,upload,10MB,5,50,0.15,349832046.69,5,0,50,0
7,upload,10MB,50,1,1.35,388630350.62,50,0,1,0
8,upload,10MB,50,5,0.39,1332947367.96,50,0,5,0
9,upload,10MB,50,50,0.54,970908059.00,50,0,50,0
10,upload,50MB,1,1,0.42,125409658.98,1,0,1,0
11,upload,50MB,1,5,0.38,139499359.00,1,0,5,0
12,upload,50MB,1,50,0.38,136522800.16,1,0,50,0
13,upload,50MB,5,1,4.61,56886836.89,5,0,1,0
14,upload,50MB,5,5,1.92,136484381.71,5,0,5,0
15,upload,50MB,5,50,2.21,118637401.84,5,0,50,0
16,upload,50MB,50,1,21.90,119678011.08,50,0,1,0
17,upload,50MB,50,5,14.52,180533382.05,50,0,5,0
18,upload,50MB,50,50,11.88,220669031.28,50,0,50,0
19,upload,100MB,1,1,1.05,100303747.71,1,0,1,0
20,upload,100MB,1,5,0.94,111756448.51,1,0,5,0
21,upload,100MB,1,50,0.93,113282839.41,1,0,50,0
22,upload,100MB,5,1,11.64,45048382.06,5,0,1,0
23,upload,100MB,5,5,4.07,128927551.37,5,0,5,0
24,upload,100MB,5,50,4.33,120950950.18,5,0,50,0
25,upload,100MB,50,1,44.44,117973750.62,50,0,1,0
26,upload,100MB,50,5,33.10,158401842.41,50,0,5,0
27,upload,100MB,50,50,27.79,188656272.00,50,0,50,0
28,download,10MB,1,1,0.02,499545269.94,1,0,1,0
29,download,10MB,1,5,0.02,497353414.73,1,0,5,0
30,download,10MB,1,50,0.02,449137733.21,1,0,50,0
31,download,10MB,5,1,0.06,812758306.03,5,0,1,0
32,download,10MB,5,5,0.07,716983177.83,5,0,5,0
33,download,10MB,5,50,0.07,726462326.29,5,0,50,0
34,download,10MB,50,1,0.57,921625470.10,50,0,1,0
35,download,10MB,50,5,0.54,968738686.30,50,0,5,0
36,download,10MB,50,50,0.57,914699365.15,50,0,50,0
37,download,50MB,1,1,0.41,128062236.51,1,0,1,0
38,download,50MB,1,5,0.40,132492750.67,1,0,5,0
39,download,50MB,1,50,0.39,133091680.11,1,0,50,0
40,download,50MB,5,1,1.42,184527267.42,5,0,1,0
41,download,50MB,5,5,1.67,156605688.82,5,0,5,0
42,download,50MB,5,50,1.52,172905040.95,5,0,50,0
43,download,50MB,50,1,13.13,199693488.32,50,0,1,0
44,download,50MB,50,5,12.65,207292143.33,50,0,5,0
45,download,50MB,50,50,15.26,171764159.19,50,0,50,0
46,download,100MB,1,1,1.30,80926551.58,1,0,1,0
47,download,100MB,1,5,1.40,75157144.12,1,0,5,0
48,download,100MB,1,50,1.44,72645284.67,1,0,50,0
49,download,100MB,5,1,6.03,87016574.15,5,0,1,0
50,download,100MB,5,5,5.70,91961259.73,5,0,5,0
51,download,100MB,5,50,5.84,89840174.65,5,0,50,0
52,download,100MB,50,1,52.60,99674424.60,50,0,1,0
53,download,100MB,50,5,44.18,118676821.49,50,0,5,0
54,download,100MB,50,50,39.12,134019066.66,50,0,50,0
55,upload,10MB,1,1,0.09,122067591.96,1,0,1,0
56,upload,10MB,1,5,0.03,0.00,0,1,5,0
57,upload,10MB,1,50,0.05,0.00,0,1,50,0
58,upload,10MB,5,1,0.10,509581669.05,5,0,1,0
59,upload,10MB,5,5,0.06,527232022.53,3,2,5,0
60,upload,10MB,5,50,0.09,0.00,0,5,50,0
61,upload,10MB,50,1,1.10,474722688.58,50,0,1,0
62,upload,10MB,50,5,0.45,0.00,0,50,5,0
63,upload,10MB,50,50,0.46,0.00,0,50,50,0
64,upload,50MB,1,1,0.35,150922356.83,1,0,1,0
65,upload,50MB,1,5,0.03,0.00,0,1,5,0
66,upload,50MB,1,50,0.05,0.00,0,1,50,0
67,upload,50MB,5,1,4.11,63840046.33,5,0,1,0
68,upload,50MB,5,5,0.06,0.00,0,5,5,0
69,upload,50MB,5,50,0.07,0.00,0,5,50,0
70,upload,50MB,50,1,16.93,154857996.48,50,0,1,0
71,upload,50MB,50,5,0.38,0.00,0,50,5,0
72,upload,50MB,50,50,0.53,0.00,0,50,50,0
73,upload,100MB,1,1,0.90,116276210.74,1,0,1,0
74,upload,100MB,1,5,0.03,0.00,0,1,5,0
75,upload,100MB,1,50,0.05,0.00,0,1,50,0
76,upload,100MB,5,1,7.64,68593091.82,5,0,1,0
77,upload,100MB,5,5,0.12,0.00,0,5,5,0
78,upload,100MB,5,50,0.10,0.00,0,5,50,0
79,upload,100MB,50,1,44.23,118541793.50,50,0,1,0
80,upload,100MB,50,5,0.67,0.00,0,50,5,0
81,upload,100MB,50,50,0.76,0.00,0,50,50,0
82,download,10MB,1,1,0.04,252948824.77,1,0,1,0
83,download,10MB,1,5,0.04,290116263.69,1,0,5,0
84,download,10MB,1,50,0.06,175548994.38,1,0,50,0
85,download,10MB,5,1,0.13,390136387.60,5,0,1,0
86,download,10MB,5,5,0.15,352668117.88,5,0,5,0
87,download,10MB,5,50,0.12,430840581.96,5,0,50,0
88,download,10MB,50,1,0.66,795234881.31,50,0,1,0
89,download,10MB,50,5,0.68,772137085.56,50,0,5,0
90,download,10MB,50,50,1.32,395734330.56,50,0,50,0
91,download,50MB,1,1,0.43,120612459.95,1,0,1,0
92,download,50MB,1,5,0.44,119207118.72,1,0,5,0
93,download,50MB,1,50,0.55,96173366.32,1,0,50,0
94,download,50MB,5,1,1.70,153865456.51,5,0,1,0
95,download,50MB,5,5,1.81,144572979.43,5,0,5,0
96,download,50MB,5,50,1.70,154631632.92,5,0,50,0
97,download,50MB,50,1,15.27,171634121.54,50,0,1,0
98,download,50MB,50,5,11.95,219440552.41,50,0,5,0
99,download,50MB,50,50,13.75,190689049.24,50,0,50,0
100,download,100MB,1,1,1.46,71864738.06,1,0,1,0
101,download,100MB,1,5,1.33,78562638.86,1,0,5,0
102,download,100MB,1,50,1.44,72809818.58,1,0,50,0
103,download,100MB,5,1,5.68,92338506.76,5,0,1,0
104,download,100MB,5,5,4.57,114794635.43,5,0,5,0
105,download,100MB,5,50,4.96,105706939.31,5,0,50,0
106,download,100MB,50,1,48.59,107897944.73,50,0,1,0
107,download,100MB,50,5,42.10,124538554.88,50,0,5,0
108,download,100MB,50,50,48.45,108217847.79,50,0,50,0
